PRACTICE_CODE,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks only - Average distance to nearest Park or Public Garden (m),Practice_code_weighted_tot_of_Parks only - Average size of nearest Park or Public Garden (m2),"Practice_code_weighted_tot_of_Parks only - Average number of Parks or Public Gardens within 1,000 m radius","Practice_code_weighted_tot_of_Parks only - Average combined size of Parks or Public Gardens within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks only - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Average distance to nearest Park Public Garden or Playing Field (m),Practice_code_weighted_tot_of_Parks and Playing Fields - Average size of nearest Park Public Garden or Playing Field (m2),"Practice_code_weighted_tot_of_Parks and Playing Fields - Average number of  Parks Public Gardens or Playing Fields within 1,000 m radius","Practice_code_weighted_tot_of_Parks and Playing Fields - Average combined size of  Parks Public Gardens or Playing Fields within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks and Playing Fields - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field (percentage),Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field (percentage)
H81672,4355,29565,9,570,260617,2,449464,40,0.34,14,0.82,33,29565,9,297,93464,5,490744,40,24,0.60,40,0.99
H82002,7181,22305,7,576,9547,2,18237,39,0.23,11,0.82,31,22305,7,326,40384,4,159266,39,18,0.47,39,1.00
H82003,9607,26071,9,809,142865,1,154772,36,0.10,4,0.63,24,26071,9,342,55917,4,195490,36,18,0.55,35,0.95
H82004,4500,22430,7,4353,218289,0.98,218770,23,0.01,0.81,0.05,3,22430,7,292,35583,1,47278,23,13,0.57,22,0.95
H82005,8217,25527,8,1385,245279,1,245932,42,0.05,3,0.34,17,25527,8,357,56834,3,252474,42,22,0.52,40,0.95
H82006,6010,17040,6,1819,568112,2,1514110,38,0.36,17,0.49,24,17040,6,607,433822,2,1424332,38,22,0.51,32,0.78
H82007,11667,19902,7,757,64473,1,82140,47,0.27,11,0.71,31,19902,7,314,43661,4,139969,47,24,0.58,45,0.97
H82008,11967,27969,9,1101,10308,2,19647,44,0.17,10,0.58,28,27969,9,368,18649,4,79828,44,22,0.48,42,0.95
H82009,13889,21575,7,627,25272,1,31387,37,0.11,5,0.82,30,21575,7,290,24437,5,122824,37,21,0.55,37,1.00
H82010,7627,27926,9,1006,9190,2,19070,45,0.19,11,0.60,29,27926,9,371,20176,4,88181,45,22,0.47,43,0.96
H82011,13703,17791,6,627,50742,1,65446,43,0.14,6,0.82,34,17791,6,363,37856,4,156781,43,18,0.42,43,0.99
H82012,9156,13185,5,1076,204555,1,224370,44,0.09,4,0.41,19,13185,5,336,80355,4,349447,44,20,0.47,42,0.98
H82013,11387,21093,7,1376,94719,2,137166,86,0.14,17,0.45,49,21093,7,428,29957,4,133954,86,49,0.50,80,0.88
H82014,9551,20846,7,1785,84745,1,88362,55,0.06,2,0.18,8,20846,7,360,43270,3,121126,55,26,0.47,53,0.96
H82015,6301,24496,8,610,20458,1,31587,49,0.15,7,0.86,42,24496,8,436,16816,4,95638,49,16,0.32,48,0.97
H82016,12199,13635,5,1320,73941,1,80684,48,0.10,5,0.29,14,13635,5,314,28538,5,134976,48,26,0.57,46,0.96
H82017,23707,24900,8,931,287146,1,334482,46,0.16,9,0.57,28,24900,8,369,77716,3,255732,46,23,0.48,43,0.95
H82020,9152,9051,3,403,49105,3,99664,58,0.51,36,0.91,54,9051,3,249,31824,6,159606,58,44,0.71,58,1.00
H82021,6423,19019,6,730,13428,1,13914,39,0.34,14,0.75,30,19019,6,360,16921,3,55695,39,26,0.67,36,0.92
H82022,11950,25454,8,4851,98578,1,98579,39,0.02,0.71,0.04,1,25454,8,446,34470,2,50194,39,17,0.44,34,0.88
H82023,7506,20148,7,547,9353,2,22173,35,0.26,10,0.84,28,20148,7,303,38221,5,154461,35,18,0.52,35,1.00
H82024,5718,16761,6,8103,47357,1,47883,47,0.00,0.08,0.00,0.28,16761,6,615,17330,3,52514,47,12,0.23,39,0.81
H82025,15210,18440,6,817,329317,1,360613,41,0.13,5,0.67,26,18440,6,337,80337,4,462632,41,19,0.48,40,0.98
H82026,15312,20951,7,1123,400458,1,418978,57,0.06,5,0.35,24,20951,7,384,85688,3,258116,57,23,0.43,54,0.95
H82027,3415,25491,8,4906,154004,1,167113,39,0.02,0.71,0.06,2,25491,8,858,50865,1,79902,39,8,0.17,23,0.55
H82028,8374,25315,8,938,305193,1,362850,43,0.16,8,0.58,27,25315,8,341,70961,3,270137,43,22,0.50,42,0.97
H82029,10118,16945,6,453,9392,3,27504,30,0.34,12,0.92,28,16945,6,245,23050,7,123848,30,21,0.66,30,1.00
H82030,12977,23570,8,1887,104243,1,132378,45,0.06,2,0.20,8,23570,8,588,66857,1,103141,45,15,0.33,35,0.76
H82031,5418,23845,8,4838,295952,1,306902,46,0.02,0.53,0.04,1,23845,8,897,26626,1,44019,46,10,0.24,19,0.47
H82032,12169,21086,7,2920,70125,1,92615,58,0.03,2,0.08,5,21086,7,735,22084,1,48976,58,9,0.19,44,0.78
H82033,6695,14609,5,708,437513,1,467797,36,0.11,3,0.78,27,14609,5,348,65426,4,540230,36,13,0.42,36,1.00
H82034,13335,24322,8,612,95349,1,101074,42,0.23,10,0.80,35,24322,8,369,75082,3,139665,42,17,0.42,42,0.99
H82035,11171,28751,9,2414,24903,1,25093,46,0.03,1,0.12,5,28751,9,293,41746,3,109366,46,27,0.60,45,0.98
H82036,9658,25004,8,971,315253,1,365495,47,0.14,8,0.54,28,25004,8,343,67964,3,262139,47,23,0.49,45,0.97
H82037,6529,16915,6,8123,47319,1,47573,47,0.00,0.10,0.00,0.28,16915,6,626,17013,3,51636,47,12,0.23,39,0.79
H82038,12837,21617,7,760,4700,1,15392,64,0.16,11,0.60,39,21617,7,427,49462,2,89455,64,27,0.41,60,0.94
H82039,7557,14125,5,789,50884,2,81530,46,0.27,12,0.66,29,14125,5,312,32841,4,126214,46,25,0.57,45,0.97
H82040,8102,28643,9,2782,10304,1,10563,36,0.01,0.78,0.07,4,28643,9,466,22182,2,46577,36,14,0.37,31,0.90
H82041,12210,15201,5,520,35424,2,66047,45,0.23,12,0.90,41,15201,5,314,31569,5,130020,45,23,0.53,45,1.00
H82042,12804,18991,6,1342,90595,2,135223,94,0.09,13,0.46,50,18991,6,354,25454,4,143330,94,54,0.54,90,0.94
H82043,11819,20810,7,2029,47140,1,49365,50,0.03,2,0.11,7,20810,7,462,28985,2,58141,50,16,0.36,45,0.89
H82044,12062,28233,9,1188,68889,1,69626,49,0.07,4,0.36,21,28233,9,340,49022,4,172737,49,26,0.53,47,0.96
H82045,14764,14195,5,491,23676,2,56382,52,0.22,13,0.94,49,14195,5,358,26773,4,106905,52,20,0.41,51,1.00
H82046,11919,20217,7,535,27370,2,45025,36,0.23,8,0.87,31,20217,7,272,23599,5,144624,36,22,0.61,36,1.00
H82047,10970,19661,7,954,179011,1,204169,45,0.12,5,0.66,30,19661,7,330,58422,5,293404,45,22,0.53,43,0.97
H82048,10001,19043,6,910,15513,1,18091,52,0.14,8,0.55,29,19043,6,416,29271,2,54758,52,23,0.45,48,0.92
H82049,9834,20564,7,1170,84447,2,137136,88,0.14,18,0.54,54,20564,7,369,33438,4,160915,88,50,0.52,85,0.94
H82050,9955,14389,5,968,346792,1,373691,39,0.08,4,0.52,21,14389,5,334,63031,4,342078,39,18,0.47,38,0.98
H82051,12188,20647,7,1245,203893,2,237605,85,0.16,18,0.48,50,20647,7,422,42067,4,146913,85,44,0.47,78,0.87
H82052,15305,24948,8,1144,114003,1,144325,36,0.13,5,0.42,16,24948,8,451,39395,3,153341,36,13,0.35,33,0.92
H82053,6925,18801,6,835,503614,1,540680,38,0.07,3,0.58,22,18801,6,359,70551,5,611307,38,16,0.45,37,0.99
H82055,12642,21932,7,5389,283375,0.91,283745,46,0.01,0.40,0.02,0.80,21932,7,331,48477,2,91778,46,21,0.42,44,0.88
H82056,13612,28045,9,1378,55616,1,56609,50,0.07,5,0.34,21,28045,9,318,45108,4,166208,50,29,0.55,48,0.97
H82057,19118,26766,9,1815,46645,1,48366,38,0.12,5,0.43,18,26766,9,381,34196,2,73133,38,18,0.47,37,0.95
H82058,13165,13530,5,885,48890,2,76549,48,0.20,12,0.57,29,13530,5,287,28911,5,142122,48,29,0.60,47,0.99
H82059,8894,20538,7,1958,84621,1,87332,55,0.04,1,0.12,5,20538,7,367,38115,3,125385,55,27,0.48,52,0.95
H82060,9675,24262,8,2100,182174,1.00,182202,43,0.06,5,0.39,22,24262,8,518,75104,2,112046,43,13,0.33,35,0.83
H82061,8823,13804,5,442,50963,3,108757,43,0.34,19,0.99,43,13804,5,404,49164,4,125507,43,21,0.41,43,1.00
H82063,13540,27428,9,947,8764,2,18536,46,0.17,9,0.59,29,27428,9,364,20085,4,91427,46,23,0.48,44,0.96
H82064,9247,14189,5,663,386838,1,483578,40,0.13,6,0.83,33,14189,5,338,111272,4,608323,40,19,0.47,40,0.99
H82065,8463,16106,5,903,47515,1,56972,33,0.09,4,0.47,18,16106,5,338,29204,3,91848,33,19,0.54,33,0.99
H82066,14144,11583,4,833,42782,2,69514,47,0.26,12,0.60,28,11583,4,341,27400,4,106094,47,23,0.52,45,0.97
H82067,4319,18720,6,2372,390398,1,404482,78,0.04,4,0.17,17,18720,6,393,34502,2,79393,78,39,0.48,74,0.92
H82069,7050,13768,5,1180,50914,2,72927,50,0.19,10,0.49,25,13768,5,336,25680,4,107919,50,25,0.52,49,0.97
H82070,11268,24520,8,1508,229346,1.00,229356,48,0.14,7,0.41,21,24520,8,605,127168,1,151735,48,14,0.33,34,0.73
H82072,11330,26949,9,774,237723,1,251657,42,0.12,5,0.66,28,26949,9,426,81164,3,250486,42,14,0.37,40,0.94
H82076,3788,23825,8,644,14843,1,19865,48,0.12,6,0.82,41,23825,8,490,18726,3,60367,48,10,0.20,48,0.99
H82077,11043,20314,7,1497,41853,1,41888,58,0.09,4,0.33,15,20314,7,459,29918,2,46642,58,23,0.43,52,0.89
H82078,9328,23061,8,3123,452470,0.98,452693,48,0.01,0.70,0.04,3,23061,8,837,22475,1,30404,48,10,0.20,30,0.62
H82083,10453,20603,7,597,9819,2,18049,31,0.20,7,0.84,25,20603,7,313,56556,5,167582,31,15,0.50,31,0.99
H82084,6320,25800,8,750,170917,1,184884,41,0.15,6,0.68,29,25800,8,409,64287,3,205631,41,16,0.41,38,0.93
H82086,2372,20425,7,664,48840,1,57187,41,0.13,6,0.77,31,20425,7,315,35788,4,136013,41,21,0.53,40,0.99
H82087,3995,25488,8,1122,88597,1,91682,67,0.03,2,0.37,23,25488,8,371,22788,5,145682,67,29,0.46,65,0.97
H82088,7355,12163,4,734,624166,1,666330,32,0.10,3,0.76,23,12163,4,303,77956,4,735120,32,17,0.55,31,0.99
H82089,7582,25063,8,952,312918,1,357466,47,0.14,8,0.54,28,25063,8,355,68757,3,255270,47,23,0.48,46,0.97
H82091,7224,15849,5,551,30256,2,56541,38,0.27,12,0.84,32,15849,5,268,26972,5,109172,38,24,0.61,38,0.99
H82092,7976,26838,9,845,308852,0.98,316547,53,0.38,24,0.67,39,26838,9,304,127941,2,261305,53,35,0.60,51,0.94
H82094,5510,15892,5,626,30769,2,52266,37,0.18,8,0.80,31,15892,5,280,28862,5,105492,37,23,0.61,37,0.99
H82095,9962,19690,6,6296,6344,1,6420,47,0.00,0.02,0.00,0.17,19690,6,546,27787,1,40559,47,17,0.36,39,0.84
H82096,6938,14964,5,618,30795,2,55143,37,0.19,8,0.80,31,14964,5,275,27582,5,109114,37,23,0.60,37,0.99
H82098,10118,10455,4,699,763197,1,857991,28,0.05,2,0.85,24,10455,4,355,141857,4,946314,28,11,0.39,28,1.00
H82099,7449,15705,5,1063,51549,2,69305,53,0.17,10,0.47,26,15705,5,303,31062,5,126024,53,30,0.58,51,0.98
H82100,6342,27410,9,1510,65315,1,65756,45,0.05,2,0.19,10,27410,9,275,34144,4,129176,45,28,0.64,45,0.98
H82101,5768,16747,6,574,18145,2,34629,46,0.14,7,0.92,43,16747,6,374,24239,4,91459,46,18,0.41,46,1.00
H82615,6546,22255,7,2365,266199,1,269548,44,0.01,0.38,0.12,5,22255,7,446,73607,2,145384,44,24,0.57,35,0.84
H82621,5532,24715,8,814,168653,1,184423,40,0.15,6,0.70,28,24715,8,348,56877,4,210823,40,18,0.49,38,0.96
H82640,14922,26245,8,1164,297524,1,329769,36,0.07,4,0.37,16,26245,8,373,41333,4,185577,36,16,0.43,35,0.98
H82641,2025,17271,6,1034,51827,2,69576,50,0.19,9,0.51,24,17271,6,384,33787,3,110392,50,21,0.47,46,0.94
H82643,6034,15440,5,630,72465,1,82386,41,0.17,7,0.75,31,15440,5,311,43802,4,170323,41,21,0.53,41,1.00
H83001,12273,10977,4,272,181166,5,538274,28,0.63,17,0.98,27,10977,4,217,169363,7,692678,28,21,0.76,28,1.00
H83002,2802,11415,4,443,125447,2,271840,46,0.36,23,0.96,45,11415,4,330,96597,5,524747,46,28,0.52,46,1.00
H83004,11273,22358,7,513,56981,2,147765,29,0.28,8,0.89,26,22358,7,371,48008,3,218030,29,12,0.42,29,0.98
H83005,11613,12548,4,235,140504,5,640667,37,0.72,27,1.00,37,12548,4,188,133596,8,777725,37,32,0.84,37,1.00
H83006,5537,6771,2,414,91743,2,120974,21,0.44,10,0.95,20,6771,2,246,89416,4,289073,21,16,0.73,21,1.00
H83007,10366,10315,4,493,179936,2,400586,35,0.31,12,0.97,35,10315,4,243,158742,6,852486,35,25,0.72,35,1.00
H83008,2843,17570,6,446,157528,3,361183,29,0.38,10,0.91,26,17570,6,293,95532,6,524024,29,15,0.56,29,1.00
H83009,10796,14139,5,318,115303,3,384604,28,0.56,17,0.99,28,14139,5,230,66724,6,473137,28,22,0.75,28,1.00
H83010,6313,11273,4,262,92985,6,435783,30,0.63,19,0.99,30,11273,4,211,93868,8,585188,30,24,0.77,30,1.00
H83011,4150,8295,3,636,544249,2,670896,27,0.15,5,0.80,22,8295,3,357,160261,4,700530,27,11,0.39,27,1.00
H83012,9607,7696,3,591,103325,2,157771,31,0.20,5,0.83,25,7696,3,348,79740,4,287030,31,13,0.48,31,1.00
H83013,12815,21992,7,446,229260,3,487958,35,0.36,12,0.91,32,21992,7,313,135251,5,554270,35,17,0.53,35,0.99
H83014,7291,23429,8,529,59841,2,143755,30,0.24,8,0.89,27,23429,8,373,53913,3,203794,30,12,0.39,30,0.99
H83015,12906,21301,7,435,135331,3,357468,33,0.31,11,0.97,32,21301,7,311,79885,5,626398,33,19,0.55,33,1.00
H83016,13725,20491,7,649,300505,2,445629,37,0.15,5,0.78,29,20491,7,389,99234,4,558190,37,13,0.37,36,1.00
H83017,11996,10691,4,463,297539,2,534633,22,0.26,6,0.96,21,10691,4,328,186106,5,610739,22,11,0.47,22,1.00
H83018,11146,22130,7,566,61315,2,137151,29,0.22,7,0.86,25,22130,7,380,54247,3,196091,29,12,0.40,28,0.98
H83019,7902,12406,4,435,115220,3,238906,49,0.33,19,0.96,47,12406,4,325,85750,4,407083,49,26,0.51,49,1.00
H83020,10707,8828,3,623,662228,2,761909,28,0.15,5,0.81,22,8828,3,349,235079,4,785090,28,11,0.41,28,1.00
H83021,5621,9960,4,592,607898,2,783913,27,0.18,5,0.84,22,9960,4,352,269132,4,830151,27,11,0.41,27,1.00
H83022,7003,9226,3,372,114784,4,292197,24,0.41,10,0.98,23,9226,3,279,80579,6,382317,24,14,0.57,24,1.00
H83023,6988,12949,5,440,61365,3,189507,26,0.35,8,0.96,25,12949,5,365,39213,5,287489,26,11,0.43,26,1.00
H83024,14924,22777,7,695,377966,1,459165,37,0.15,5,0.71,28,22777,7,411,144429,4,526310,37,12,0.31,37,1.00
H83025,12709,11167,4,280,173374,5,522149,27,0.62,16,0.98,26,11167,4,217,155367,7,674255,27,20,0.76,27,1.00
H83027,6480,7253,3,425,110636,2,144908,22,0.43,10,0.94,21,7253,3,257,100032,4,310621,22,15,0.69,22,1.00
H83028,3315,10236,4,420,92267,2,147707,24,0.45,11,0.94,22,10236,4,275,80191,4,296522,24,15,0.66,23,1.00
H83029,4186,24910,8,824,149729,1,202161,35,0.09,3,0.54,19,24910,8,337,84002,4,350504,35,17,0.47,35,1.00
H83030,3185,9999,3,314,117258,3,260418,27,0.65,17,0.96,26,9999,3,263,102803,6,365520,27,18,0.70,27,1.00
H83031,3247,15190,5,493,146610,2,334900,36,0.28,12,0.95,34,15190,5,363,107389,5,664551,36,18,0.47,36,1.00
H83033,2925,11165,4,361,200659,4,479527,27,0.47,12,0.96,25,11165,4,226,150487,6,674184,27,21,0.77,27,1.00
H83034,7886,6211,2,740,83821,2,141327,30,0.10,3,0.61,18,6211,2,259,33574,5,186119,30,19,0.67,30,1.00
H83035,3718,25563,8,474,132723,2,258380,33,0.42,14,0.87,29,25563,8,276,77052,5,365605,33,20,0.62,33,1.00
H83037,6577,13303,5,185,111196,6,657650,36,0.85,32,1.00,36,13303,5,164,113091,8,817616,36,34,0.91,36,1.00
H83039,7052,17973,6,506,118637,3,295396,28,0.21,5,0.97,27,17973,6,311,52476,5,458159,28,15,0.53,28,1.00
H83040,3599,26654,9,462,206392,2,372640,35,0.36,14,0.91,33,26654,9,343,171890,4,441046,35,18,0.48,35,0.98
H83041,4782,9340,3,303,101586,4,327604,28,0.57,16,0.97,27,9340,3,230,77450,7,440831,28,21,0.73,28,1.00
H83042,7072,13088,4,492,420025,3,879496,24,0.20,6,0.98,23,13088,4,339,181159,5,960648,24,11,0.44,24,1.00
H83043,4254,19241,6,642,221618,2,325173,33,0.23,7,0.73,24,19241,6,317,118952,5,480626,33,17,0.52,33,1.00
H83044,13062,16920,6,588,189619,2,323962,36,0.14,6,0.93,33,16920,6,426,94372,4,444744,36,12,0.31,36,1.00
H83046,3465,5586,2,706,124938,2,170913,19,0.15,3,0.74,14,5586,2,298,111411,4,359856,19,10,0.55,19,1.00
H83048,1547,19132,6,547,241973,2,453966,38,0.27,10,0.81,30,19132,6,358,113512,4,502117,38,16,0.48,37,0.97
H83049,2532,5456,2,612,107669,1,126513,20,0.16,4,0.89,18,5456,2,398,108818,4,321325,20,7,0.37,20,1.00
H83050,5911,21723,7,376,468111,2,806076,37,0.50,19,0.93,34,21723,7,276,331215,4,859675,37,24,0.65,37,1.00
H83051,6967,10530,4,458,1206069,2,1310845,25,0.29,8,0.96,24,10530,4,297,741668,3,1355829,25,13,0.54,25,1.00
H83052,2459,22789,7,983,276858,1,318351,34,0.09,3,0.43,15,22789,7,389,78133,3,286633,34,12,0.36,33,0.99
H83053,14313,10285,4,448,117219,4,311274,25,0.31,8,0.98,24,10285,4,301,80024,6,407678,25,13,0.52,25,1.00
H83608,4129,10463,4,441,228993,2,423107,22,0.30,7,0.96,21,10463,4,310,133633,5,500553,22,11,0.50,22,1.00
H83609,2959,11927,4,374,162263,4,377175,25,0.46,12,0.98,25,11927,4,267,109650,6,486769,25,16,0.62,25,1.00
H83611,2538,8051,3,430,65839,3,202663,33,0.36,12,0.95,32,8051,3,244,50775,6,285834,33,24,0.73,33,1.00
H83620,3590,21377,7,816,308963,2,363077,38,0.10,4,0.60,25,21377,7,421,82090,4,358453,38,10,0.29,38,0.99
H83622,2061,9252,3,292,104041,6,509907,31,0.54,16,0.99,30,9252,3,222,98659,8,655421,31,23,0.74,31,1.00
H83623,2575,16222,5,444,155912,2,382425,35,0.33,13,0.97,34,16222,5,314,95501,5,697935,35,20,0.56,35,1.00
H83624,7015,13895,5,335,136615,3,398681,30,0.55,18,0.97,29,13895,5,242,88684,6,476923,30,22,0.72,30,1.00
H83625,4160,11359,4,479,1047754,2,1212193,24,0.24,6,0.94,22,11359,4,335,709760,4,1269489,24,11,0.44,24,1.00
H83626,2221,11473,4,305,193484,5,515428,27,0.58,15,0.97,26,11473,4,233,163229,7,668488,27,20,0.73,27,1.00
H83627,6226,16981,6,482,194161,2,347024,37,0.22,11,0.97,36,16981,6,368,140137,4,512045,37,18,0.43,37,1.00
H83631,8836,7950,3,640,481985,2,550788,31,0.15,6,0.80,26,7950,3,360,153798,3,572397,31,12,0.39,31,1.00
H83634,1476,9478,3,447,1054754,2,1129112,36,0.25,13,0.98,35,9478,3,348,595572,3,1203343,36,17,0.41,36,1.00
H84002,12808,27905,9,373,1429909,3,3138324,40,0.40,18,1.00,40,27905,9,341,1243778,5,3201267,40,20,0.46,40,1.00
H84005,10933,25215,8,404,853145,4,4056380,37,0.31,13,0.99,37,25215,8,284,369538,6,4231776,37,22,0.57,37,1.00
H84006,8807,24997,8,330,722640,4,4715387,35,0.47,16,1.00,34,24997,8,284,247904,7,4932308,35,19,0.55,35,1.00
H84007,8184,26788,9,420,329143,3,737301,37,0.40,15,0.94,35,26788,9,285,251163,6,839710,37,21,0.56,37,1.00
H84010,9756,24325,8,599,3886476,2,6300909,41,0.22,13,0.81,35,24325,8,289,1402416,6,5716773,41,27,0.60,41,0.99
H84012,11356,27650,9,438,271992,3,655283,35,0.33,13,0.94,34,27650,9,312,211835,6,751784,35,19,0.50,35,1.00
H84014,2929,26570,9,341,496019,6,5053596,46,0.46,27,0.99,46,26570,9,279,270960,8,5245456,46,31,0.58,46,1.00
H84015,7050,24235,8,721,402633,1,720903,33,0.13,5,0.72,25,24235,8,414,155408,3,713205,33,11,0.32,33,1.00
H84016,15756,24082,8,930,1695001,1,1754284,32,0.11,4,0.45,16,24082,8,490,325195,3,643640,32,9,0.30,30,0.96
H84017,13644,23385,8,395,712762,5,4872907,42,0.34,16,1.00,42,23385,8,305,382066,7,4996561,42,24,0.52,42,1.00
H84018,4431,23411,8,468,766001,2,1563478,37,0.30,11,0.95,35,23411,8,268,289680,6,1787913,37,23,0.65,37,1.00
H84020,21176,22590,7,609,3361898,2,4172275,50,0.27,19,0.77,43,22590,7,330,2057485,5,3695583,50,30,0.53,49,0.98
H84023,8795,25708,8,348,242642,3,1211161,34,0.47,16,0.99,34,25708,8,231,123522,9,1515808,34,25,0.74,34,1.00
H84025,5876,21516,7,1129,1368661,1,1501309,30,0.06,2,0.35,10,21516,7,313,170767,4,825921,30,15,0.52,30,1.00
H84027,17026,23228,8,694,4127055,2,5273296,40,0.19,10,0.71,30,23228,8,349,1738500,5,4302001,40,19,0.46,39,0.99
H84030,12536,24765,8,720,431051,1,746156,33,0.12,5,0.72,25,24765,8,425,168141,3,742545,33,11,0.30,33,1.00
H84031,5339,22712,7,412,252671,2,591562,27,0.31,8,1.00,27,22712,7,337,158553,4,665836,27,12,0.45,27,1.00
H84032,9333,25884,8,333,1641210,3,4182384,43,0.53,25,0.99,42,25884,8,253,1275017,6,4262518,43,30,0.66,43,1.00
H84033,6379,26654,9,472,2149788,2,4604818,35,0.30,13,0.91,33,26654,9,279,884016,6,4372581,35,22,0.62,35,1.00
H84034,6832,22437,7,1045,1174677,1,1370322,28,0.07,3,0.41,12,22437,7,324,208287,4,931789,28,13,0.48,28,1.00
H84039,10349,27471,9,350,322005,3,757051,36,0.49,18,0.98,35,27471,9,284,255346,6,835978,36,22,0.59,36,1.00
H84040,12660,22644,7,484,591970,2,1417390,37,0.27,10,0.97,36,22644,7,283,237743,6,1660092,37,22,0.61,37,1.00
H84041,3709,27580,9,293,491951,7,7317219,42,0.55,26,0.99,41,27580,9,256,338553,8,7480413,42,28,0.62,42,1.00
H84042,12039,21521,7,766,381529,2,411588,30,0.18,5,0.65,20,21521,7,403,116468,4,275008,30,11,0.41,29,0.99
H84043,6848,25814,8,512,949949,2,1480386,35,0.20,8,0.97,34,25814,8,314,380357,5,1583652,35,18,0.52,35,1.00
H84044,8537,20826,7,399,331752,3,582548,33,0.44,14,0.98,33,20826,7,251,190585,5,723552,33,23,0.69,33,1.00
H84048,6867,29249,9,348,234909,5,2147961,41,0.52,23,0.96,40,29249,9,249,191729,7,2385568,41,28,0.67,41,1.00
H84049,1562,23359,8,941,578824,1,780609,31,0.08,3,0.47,15,23359,8,435,172467,3,646965,31,10,0.31,30,0.99
H84050,6371,21688,7,1159,1440818,1,1562702,29,0.06,2,0.32,9,21688,7,302,173468,4,809612,29,15,0.53,29,1.00
H84051,5601,21139,7,759,726243,2,817894,30,0.20,6,0.66,21,21139,7,362,185032,4,519397,30,14,0.47,30,0.99
H84053,3653,24045,8,708,284002,1,558654,33,0.11,4,0.73,26,24045,8,438,131871,3,575851,33,9,0.27,33,1.00
H84054,2958,22230,7,752,287030,1,368007,30,0.11,4,0.66,20,22230,7,397,105779,3,373239,30,11,0.34,30,1.00
H84055,10427,26451,8,335,793840,4,4960746,35,0.45,15,1.00,35,26451,8,286,197781,7,5176313,35,19,0.55,35,1.00
H84057,2480,21030,7,390,464622,2,776136,29,0.43,12,0.97,28,21030,7,304,349413,4,859494,29,16,0.57,29,1.00
H84058,3695,22753,7,784,317902,1,452819,30,0.09,3,0.64,19,22753,7,412,116152,3,435420,30,10,0.33,30,1.00
H84059,3940,27986,9,335,1005682,4,3104228,39,0.49,21,1.00,39,27986,9,284,787049,6,3165138,39,24,0.57,39,1.00
H84060,7664,22990,8,541,104514,3,356459,38,0.28,12,0.85,33,22990,8,267,88670,5,588239,38,25,0.65,38,1.00
H84061,7969,25322,8,400,1815511,3,5451792,42,0.46,23,0.93,40,25322,8,237,692518,7,5385564,42,33,0.73,42,1.00
H84062,7053,24387,8,714,404329,1,696416,33,0.14,6,0.72,25,24387,8,412,156937,3,692490,33,11,0.32,33,1.00
H84608,2057,25698,8,331,511335,5,3440196,56,0.51,38,0.99,56,25698,8,259,298455,7,3639583,56,44,0.64,56,1.00
H84615,1913,25162,8,352,526577,4,5306496,35,0.41,13,1.00,34,25162,8,299,137702,7,5457376,35,16,0.51,35,1
H84618,3595,22409,7,824,178521,1,221624,26,0.07,2,0.57,16,22409,7,413,64979,4,256265,26,7,0.28,26,1.00
H84619,10399,24927,8,610,865474,2,1674356,42,0.22,11,0.81,35,24927,8,361,372211,4,1664814,42,19,0.42,41,1.00
H84623,8973,25677,8,420,2036869,2,2539013,40,0.36,17,0.97,39,25677,8,335,1459279,5,2662830,40,23,0.52,40,1.00
H84625,4315,21234,7,403,412166,2,818319,31,0.35,11,0.98,30,21234,7,308,281468,4,908737,31,17,0.53,31,1.00
H84629,4741,22571,7,717,1057533,2,1254261,33,0.21,7,0.69,23,22571,7,396,443458,4,934685,33,13,0.42,32,0.98
H84630,2959,17031,6,372,445450,2,986845,31,0.41,13,0.98,30,17031,6,284,303538,4,1077921,31,19,0.61,31,1.00
H84632,3836,24150,8,489,149854,3,749578,34,0.26,9,0.96,32,24150,8,277,88158,7,964088,34,19,0.61,34,1.00
H84635,12727,25760,8,387,87099,3,214831,30,0.46,14,0.97,29,25760,8,284,65193,5,348860,30,17,0.58,30,1.00
